"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
102001,2017-02-28,"United States",,0,195700,0.00358974358974359,0.0150414937759336,0.0693989071038251,0.0521164497710087,-0.000204165035508908,"2007-04","2007-Q2",196600,-0.00457782299084435,"2007-01"
394913,2017-02-28,"New York, NY","NY",1,407600,0.00542673902318698,0.0162054350536026,0.0703781512605042,0.0376673566350931,-0.00809206151298969,"2006-09","2006-Q3",445200,-0.0844564240790656,"2005-05"
753899,2017-02-28,"Los Angeles-Long Beach-Anaheim, CA","CA",2,599400,0.00385195109696868,0.0149001015916018,0.0635202271114265,0.0917254839236032,0.00046833791616363,"2006-08","2006-Q3",604000,-0.0076158940397351,"2006-04"
394463,2017-02-28,"Chicago, IL","IL",3,207500,0.00679281901989326,0.0211614173228346,0.0641025641025641,0.045891696231056,-0.0171553111184668,"2007-03","2007-Q1",247000,-0.159919028340081,"2003-07"
394514,2017-02-28,"Dallas-Fort Worth, TX","TX",4,203400,0.00593471810089021,0.0149700598802395,0.110868377935554,0.0843118903458127,0.0333592524408934,"2017-02","2017-Q1",203400,0,"2017-02"
394974,2017-02-28,"Philadelphia, PA","PA",5,215400,0.000464468183929401,0.0041958041958042,0.045631067961165,0.0215698553169021,-0.00653679600511237,"2006-09","2006-Q3",230600,-0.0659150043365134,"2005-09"
394692,2017-02-28,"Houston, TX","TX",6,175200,-0.00170940170940171,-0.00341296928327645,0.0447227191413238,0.0662958286632238,0.0222447248457804,"2016-12","2016-Q4",176000,-0.00454545454545455,"2016-10"
395209,2017-02-28,"Washington, DC","DC",7,382400,0.002884867558353,0.0103038309114927,0.0391304347826087,0.0421340224510165,-0.00783652232273602,"2006-04","2006-Q2",427600,-0.105706267539757,"2005-04"
394856,2017-02-28,"Miami-Fort Lauderdale, FL","FL",8,248600,0.00282371924162969,0.0126272912423625,0.0893952673093777,0.120098981498161,-0.0181590710905193,"2006-08","2006-Q3",305200,-0.185452162516383,"2005-05"
394347,2017-02-28,"Atlanta, GA","GA",9,175200,0.00401146131805158,0.0162412993039443,0.0755064456721915,0.0791653445049878,0.00138028392943812,"2017-02","2017-Q1",175200,0,"2017-02"
394404,2017-02-28,"Boston, MA","MA",10,416100,0.00507246376811594,0.015869140625,0.0636503067484663,0.0602279594152515,0.0146157202732458,"2017-02","2017-Q1",416100,0,"2017-02"
395057,2017-02-28,"San Francisco, CA","CA",11,839600,0.00466674644011009,0.01548137397194,0.0446684086101779,0.119864443225025,0.0198615540404159,"2017-02","2017-Q1",839600,0,"2017-02"
394532,2017-02-28,"Detroit, MI","MI",12,137500,0.00732600732600733,0.0230654761904762,0.1,0.122372661148413,-0.00638789731359846,"2005-06","2005-Q2",157100,-0.124761298535964,"2001-01"
395025,2017-02-28,"Riverside, CA","CA",13,321400,0.00218272528843156,0.00942211055276382,0.0674194619727665,0.111560689654819,-0.0196366641783566,"2006-08","2006-Q3",403900,-0.204258479821738,"2004-12"
394976,2017-02-28,"Phoenix, AZ","AZ",14,231700,0.00216262975778547,0.0117903930131004,0.0633318035796237,0.11458113382827,-0.0124784172786239,"2006-04","2006-Q2",273500,-0.152833638025594,"2005-07"
395078,2017-02-28,"Seattle, WA","WA",15,420200,0.00454219459717906,0.0169409486931268,0.111934374173062,0.0979133237141392,0.0116344774697199,"2017-02","2017-Q1",420200,0,"2017-02"
394865,2017-02-28,"Minneapolis-St Paul, MN","MN",16,239700,0.00629722921914358,0.0213037920749893,0.0710455764075067,0.0759879381766915,0.00130256659351002,"2006-05","2006-Q2",240500,-0.00332640332640333,"2006-03"
395056,2017-02-28,"San Diego, CA","CA",17,529200,-0.00132100396301189,0.00208293883734141,0.0535536531953016,0.0856436424225577,0.00190954755336681,"2005-11","2005-Q4",543600,-0.0264900662251656,"2005-03"
395121,2017-02-28,"St. Louis, MO","MO",18,149900,0,0.0135226504394861,0.0707142857142857,0.0306465245196883,-0.00442664780989255,"2007-05","2007-Q2",158900,-0.0566393958464443,"2005-11"
395148,2017-02-28,"Tampa, FL","FL",19,182100,0.0066334991708126,0.0259154929577465,0.116492949110975,0.103277981732168,-0.012543522894345,"2006-08","2006-Q3",214300,-0.150256649556696,"2005-08"
394358,2017-02-28,"Baltimore, MD","MD",20,259000,0.000772797527047913,0.00817438692098093,0.0418342719227675,0.0295540091238402,-0.0106258051923532,"2006-11","2006-Q4",289100,-0.104116222760291,"2005-08"
394530,2017-02-28,"Denver, CO","CO",21,359100,0.00447552447552448,0.0167044167610419,0.0931506849315069,0.106909532812614,0.0438475826994111,"2017-02","2017-Q1",359100,0,"2017-02"
394982,2017-02-28,"Pittsburgh, PA","PA",22,135600,0.00518902891030393,0.0142109199700823,0.0527950310559006,0.0380575545733282,0.0256120903080115,"2017-02","2017-Q1",135600,0,"2017-02"
394998,2017-02-28,"Portland, OR","OR",23,358700,0.00335664335664336,0.020193401592719,0.0916007303712721,0.108826305981957,0.0210313787473033,"2017-02","2017-Q1",358700,0,"2017-02"
394458,2017-02-28,"Charlotte, NC","NC",24,169500,0.00414691943127962,0.0167966406718656,0.0700757575757576,0.0492232619835518,0.0120272035988089,"2017-02","2017-Q1",169500,0,"2017-02"
395045,2017-02-28,"Sacramento, CA","CA",25,357700,0.00562271577171774,0.0199600798403194,0.0767609873570139,0.112609314060294,-0.00668098302920161,"2005-12","2005-Q4",420800,-0.14995247148289,"2004-11"
395055,2017-02-28,"San Antonio, TX","TX",26,158100,0.00380952380952381,0.0121638924455826,0.0603621730382294,0.0497890463242852,0.0189031803448865,"2017-02","2017-Q1",158100,0,"2017-02"
394943,2017-02-28,"Orlando, FL","FL",27,201900,0.00347912524850895,0.0202122283981809,0.10388190267906,0.10347940452872,-0.0212204174158436,"2006-07","2006-Q3",256300,-0.212251268045259,"2005-06"
394466,2017-02-28,"Cincinnati, OH","OH",28,150500,0.0053440213760855,0.0182679296346414,0.0636042402826855,0.0337255795597529,0.00477416508246353,"2017-02","2017-Q1",150500,0,"2017-02"
394475,2017-02-28,"Cleveland, OH","OH",29,132100,0.00456273764258555,0.0153727901614143,0.0492454328832407,0.0311802383303275,-0.0073404568602633,"2006-03","2006-Q1",145400,-0.0914718019257221,"2003-02"
394735,2017-02-28,"Kansas City, MO","MO",30,154600,0.0038961038961039,0.0171052631578947,0.0552901023890785,0.031176941633245,0.00663979660842151,"2005-06","2005-Q2",159500,-0.0307210031347962,"2004-07"
394775,2017-02-28,"Las Vegas, NV","NV",31,217800,0.00461254612546125,0.0182328190743338,0.10055583628095,0.133109459058693,-0.03008127325662,"2006-05","2006-Q2",304700,-0.285198555956679,"2004-05"
394492,2017-02-28,"Columbus, OH","OH",32,161000,0.0024906600249066,0.0144927536231884,0.0454545454545455,0.0461273336552954,0.00989694495128157,"2017-02","2017-Q1",161000,0,"2017-02"
